name,station,sensor,lat,lon,date_time,salinity,bad_station
"I-295 Bridge, St Johns River, FL",8720357,SALINITY,30.1917,-81.6917,2014-07-01T12:00:00Z,4.612,False
"Red Bay Point, St Johns River, FL",8720503,SALINITY,29.9783,-81.6283,2014-07-01T12:00:00Z,0.558,False
Tolomato River station,fldep.tolomatoriver.,NA,29.9947223663,-81.3295593262,2014-00-01T12:00:00Z,33.966255188,False
Shell Point station,sccf.shellpoint.wq,NA,26.5225639343,-82.0079879761,2014-00-01T12:00:00Z,27.9696884155,False
"Cherry Grove Pier, N. Myrtle Beach, SC",lbhmc.cherrygrove.pier,NA,33.8274917603,-78.6320037842,2014-00-01T12:00:00Z,0.691039800644,False
Gulf of Mexico station,sccf.gulfofmexico.wq,NA,26.4430294037,-81.9711914062,2014-00-01T12:00:00Z,34.5157051086,False
Shell Point,usf.shp.ngwlms,NA,30.0580005646,-84.2900009155,2014-00-01T12:00:00Z,-99.0,False
St Lucie Inlet station,fldep.stlucieinlet.,NA,27.1652774811,-80.1627807617,2014-00-01T12:00:00Z,32.8325157166,False
Redfish Pass station,sccf.redfishpass.wq,NA,26.5615692139,-82.1754379272,2014-00-01T12:00:00Z,36.1562156677,False
fau_lobo_1,fau.lobo.1,NA,27.5348396301,-80.3431167603,2014-00-01T12:00:00Z,27.6072998047,False
"CORMP ILM3, Wrightsville Beach Offshore, NC",cormp.ilm3.buoy,NA,33.9878005981,-77.3635025024,2014-00-01T12:00:00Z,35.9012145996,False
Fort Myers station,sccf.fortmyers.wq,NA,26.6493396759,-81.8809661865,2014-00-01T12:00:00Z,10.0435504913,False
usf_c10_imet,usf.c10.imet,NA,27.1730003357,-82.9240036011,2014-00-01T12:00:00Z,-999.900024414,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",carocoops.sun2.buoy,NA,33.8300018311,-78.4800033569,2014-00-01T12:00:00Z,34.6495056152,False
Bing's Landing station,fldep.bingslanding.,NA,29.6154174805,-81.2049179077,2014-00-01T12:00:00Z,30.37458992,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",carocoops.cap2.buoy,NA,32.7999992371,-79.6200027466,2014-00-01T12:00:00Z,34.2504959106,False
Tarpon Bay station,sccf.tarponbay.wq,NA,26.4679069519,-82.0631027222,2014-00-01T12:00:00Z,33.2817192078,False
"CAROCOOPS FRP2, Fripp Nearshore, SC",carocoops.frp2.buoy,NA,32.2700004578,-80.4000015259,2014-00-01T12:00:00Z,34.2642555237,False
"2nd Ave North Pier, Myrtle Beach, SC",lbhmc.2ndave.pier,NA,33.682674408,-78.8841400146,2014-00-01T12:00:00Z,7.18531084061,False
"Apache Pier, Myrtle Beach, SC",lbhmc.apachepier.pier,NA,33.7615203857,-78.779876709,2014-00-01T12:00:00Z,-45.0224609375,False
